Departamento,Muertes covid 2020,Muertes covid 2021,Población,Per capita 2020,Per capita 2021,Recreación 2020,Mercados y farmacias 2020,Parques 2020,Estaciones de tránsito 2020,Puestos de trabajo 2020,Residencial 2020,Recreación 2021,Mercados y farmacias 2021,Parques 2021,Estaciones de tránsito 2021,Puestos de trabajo 2021,Residencial 2021
AMAZONAS,127,132,80464,0.001578345595546,0.001640485185922,-20.3921568627451,-24.9782608695652,-50.633445945946,,-19.0107296137339,,,,-39.3547945205479,,4.4967845659164,
ANTIOQUIA,4878,12070,6782584,0.000719194926299,0.001779557761467,-37.6064235166032,-21.7650144243378,-34.4586183769282,-44.366785079929,-21.5556978233035,14.0540976988292,-0.922573933719721,20.9752252252252,-8.23701699700053,5.24542267238021,-0.847397939220034,4.85886696010223
ARAUCA,137,349,301270,0.000454741593919,0.001158429315896,-29.6283924843424,-10.8095238095238,-30.3358908780904,-38.2711409395973,-13.8127398311589,11.2144702842377,26.7368421052632,44.8006430868167,-0.996265172735761,18.3287858117326,11.5678449258837,3.67219917012448
ATLANTICO,3473,6289,2771139,0.001253275277783,0.002269463928009,-47.4693376941946,-27.4762396694215,-40.4566017885324,-47.1737731295253,-29.5246122724208,14.7039711191336,-14.1664383561644,18.8091324200913,-13.9569080408707,-11.6806318681319,3.66729475100942,7.74917801784876
BOGOTA,9977,17867,7834167,0.001273524038995,0.002280650897536,-47.2056074766355,-20.392523364486,-36.9376947040498,-40.5202492211838,-35.4984423676012,20.816199376947,-19.772602739726,14.1178082191781,-13.3808219178082,3.41643835616438,-14.241095890411,11.4493150684932
BOLIVAR,1124,1932,2213061,0.000507893817658,0.000872998981953,-52.8890134529148,-30.3917525773196,-40.7284886312974,-64.3734567901235,-26.4898060666335,15.3380281690141,-14.4589178356713,29.7090047393365,-3.26786537574919,-14.5342465753425,3.24441878367975,6.20596590909091
BOYACA,631,1953,1251675,0.000504124473206,0.001560309185691,-41.5585081585082,-19.5884016973126,-44.7720106718409,-44.1807658058771,-21.9852744310576,16.3588483146067,-4.50337331334333,41.9604221635884,-10.127538586515,14.9937743190661,7.63653383257556,8.26204523107178
CALDAS,652,1643,1027314,0.000634664766566,0.001599316275258,-46.2962962962963,-26.0542857142857,-38.1039267788603,-54.1344,-22.9898897058824,13.9358490566038,-12.6918294849023,8.78531073446328,-10.4011612562681,-4.64516129032258,-4.38781261007397,6.15200478755236
CAQUETA,543,409,414841,0.001308935230606,0.000985919906663,-40.781512605042,-11.7179054054054,-37.53,-53.4782608695652,-20.7090909090909,13.641638225256,-0.916438356164384,59.1673881673882,-6.57442922374429,-45.6666666666667,5.24265402843602,3.11780821917808
CASANARE,197,745,439238,0.000448504000109,0.001696119188231,-41.6220472440945,-21.8541329011345,-34.0615023474178,-44.611301369863,-12.9130974549969,15.613707165109,-5.29009433962264,23.6,-11.4627218934911,-14.75173370319,7.74138723013321,5.59178082191781
CAUCA,512,1093,1504044,0.000340415572949,0.000726707463345,-40.7902542372881,-19.9206349206349,-34.7700911350456,-34.5909090909091,-16.2267857142857,13.3879668049793,0.808550185873606,26.6442432082794,-12.2083182640145,-16.1428571428571,2.04286154794943,6.2569706103994
CESAR,1000,1568,1322466,0.000756163107407,0.001185663752414,-47.1253588516746,-20.9923747276688,-27.4135859519408,-56.9375,-16.5376007162041,13.0888888888889,-11.8294820717131,27.2504604051565,-2.55739025372533,-18.6561643835616,5.80483870967742,4.11324200913242
CHOCO,169,236,549225,0.000307706313442,0.000429696390368,-43.0544815465729,-27.7870036101083,-26.936877076412,-49.4854700854701,-26.0496894409938,11.47265625,-2.60493827160494,16.9930555555556,18.1180758017493,-17.7041095890411,-4.42401500938086,5.05068493150685
CORDOBA,1691,2080,1844076,0.000916990406035,0.001127936158813,-42.5640785781104,-19.3831089351285,-33.2781536012734,-45.1139896373057,-21.3451224251846,12.590618336887,-7.65976535541753,33.9539347408829,-7.85215243472124,-9.66879562043796,1.73091659298556,3.92893116955792
CUNDINAMARCA,1807,5067,3372221,0.000535848629138,0.001502570561063,-39.6263490882025,-20.3043771043771,-36.8082854550952,-25.3208733046642,-20.6158131562031,17.7194899817851,-0.611357586512866,30.5741655145171,-3.74189814814815,6.44038668098819,5.60989643268124,8.54156128814702
GUAVIARE,37,60,88490,0.00041812634196,0.000678042716691,-31.9411764705882,-25.8755555555556,-28.3665540540541,,-12.4547008547009,13.6190476190476,,45.8514851485149,7.70914127423823,,13.1069958847737,10.4974874371859
HUILA,1180,2016,1131934,0.001042463606535,0.001781022568454,-40.9477611940299,-22.5929203539823,-34.1338329764454,,-19.556270096463,12.7477295660949,1.62557077625571,31.4475853945819,0.753568030447193,,13.5823380383641,4.00639204545455
GUAJIRA,554,899,987781,0.000560853063584,0.000910120765635,-48.0307517084283,-36.8287560581583,-40.4655975168132,-45.097972972973,-22.1751740139211,14.2772621809745,-14.4364135407136,18.9276944065484,-15.711968434897,16.1876712328767,1.30252873563218,7.41278538812785
MAGDALENA,1089,2414,1449087,0.000751507673452,0.001665876513971,-54.4776902887139,-36.2819722650231,-50.742700729927,-60.4858490566038,-21.6812773951158,14.2479892761394,-17.4486301369863,20.1931506849315,-13.791135734072,29.628088426528,8.16269083969466,7.65229885057471
META,753,1553,1072412,0.000702155514858,0.001448137469555,-39.9167280766396,-21.9529914529914,-29.6963082727028,-37.2738780207135,-13.7642669007902,14.3020202020202,4.48298507462687,29.1575817641229,-4.41790680653818,7.1247582205029,12.5631354542473,4.96446339729922
NARIÑO,1024,2033,1627386,0.000629229942988,0.001249242650484,-45.4913083257091,-26.8174740484429,-36.6379907621247,-44.1215733015495,-18.2573575453976,14.425702811245,-5.3399433427762,16.4266572637518,-14.7640337804272,-8.97905759162304,2.51337958374628,6.89141234918382
NORTE SANTANDER,2111,2608,1642746,0.001285043457723,0.001587585664491,-39.390243902439,-21.9686274509804,-34.4078528475416,-55.6655574043261,-21.0055555555556,13.9154929577465,5.53229608675153,27.7753424657534,0.786632390745501,13.4356164383562,-1.30390432641576,5.98643592142189
PUTUMAYO,245,476,364085,0.000672919785215,0.001307387011275,-25.9152892561983,-16.3050847457627,-29.0108303249097,-45.2941176470588,-10.4969696969697,8.90704225352113,27.0414673046252,58.7134986225895,-14.3660797034291,-13.6379310344828,13.6406685236769,2.15604681404421
QUINDIO,672,1180,562117,0.001195480656162,0.002099207104571,-44.6854508196721,-22.2838283828383,-43.5493850167723,-47.6082725060827,-24.9440433212996,13.6149425287356,-14.0468483816014,20.3949394939494,-6.09229828850856,-6.78428093645485,-1.38242618285308,4.34001823154057
RISARALDA,770,1515,968626,0.000794940462057,0.001564071168852,-39.3001618122977,-12.4132149901381,-36.1033883579496,-44.09140969163,-25.3917861799218,14.4009942004971,2.31460674157303,21.6082659478886,-10.0011737089202,-26.9672514619883,-1.23220153340635,5.65342465753425
SAN ANDRES,39,112,64672,0.000603043047996,0.001731815932707,-63.1317567567568,-47.3426124197002,-64.6500802568218,-58.3469721767594,-38.5025210084034,14.5633187772926,-9.15479452054795,1.40960451977401,-38.7397260273973,19.4164383561644,-12.3945205479452,7.73934426229508
SANTANDER,2461,5078,2306455,0.001067005426076,0.002201647116462,-43.2359984550019,-21.7874055415617,-39.6886390073672,-39.8083067092652,-24.6894932014833,15.8898385565052,-5.74045801526718,27.9610101905184,-9.47802013422819,6.37034358047016,0.077677224736048,6.86418786692759
SUCRE,689,944,962457,0.000715876137843,0.000980823039367,-48.0014814814815,-26.8345323741007,-41.1932536893886,-68.7373540856031,-19.3676671214188,13.9807162534435,-2.41717791411043,14.2621621621622,-7.1551724137931,-75.5199335548173,-3.26364127498649,5.4396467124632
TOLIMA,1319,2375,1343898,0.000981473296336,0.001767247216679,-42.5111317254174,-32.2252894033838,-33.4059571619813,-50.5646258503401,-22.9165628891656,14.7172131147541,1.4984496124031,9.29387069689337,4.96689655172414,-12.1813537675607,0.735632183908046,5.82612872238232
VALLE,4395,8977,4556752,0.000964502786195,0.001970043574897,-36.2687369363989,-17.5912504080966,-34.5377233131552,-41.7536585365854,-17.2514506769826,12.7255369928401,-4.34665012406948,15.0512609649123,-7.72739119103466,-12.6036760482481,0.403637195470662,6.16639363444887
VICHADA,18,39,114557,0.000157127019737,0.000340441876097,-68.5,,-22.4795539033457,,-4.16279069767442,,,,-1.14285714285714,,12.1074626865672,
